0,1,2,3,4,5,6,7
Prueba,49,,"Masc., 4 x 5",0m Espalda,,Benja,mín Masculino
11/12/,2022,,,,,,Resultados
Puntos: FIN,A 2022,,,,,,
Clasificación,,,,,,Tiempo,Pts
1.,E.M. El Olivar 1,,E.M.,El Olivar,,2:50.23,151
2.,Stadium Venecia 1,,Stadi,um Venecia,,2:55.53,138
3.,C.N. Helios 3,,C.N.,Helios,,2:57.76,133
4.,E.M. El Olivar 2,,E.M.,El Olivar,,3:07.72,113
5.,H2ogo C.N. 1,,H2og,o C.N.,,3:11.26,107
6.,C.N. Helios 2,,C.N.,Helios,,3:19.28,94
7.,Stadium Casablanca 1,,Stadi,um Casablanca,,3:21.13,92
8.,E.M. El Olivar 3,,E.M.,El Olivar,,3:22.36,90
9.,E.M. El Olivar 5,,E.M.,El Olivar,,3:41.28,69
10.,E.M. El Olivar 4,,E.M.,El Olivar,,4:10.94,47
Baja enf.,C.N. Helios 1,,C.N.,Helios,,,
