Puesto,Nombre,Anyo_nac,Club,Tiempo,Pts,Prueba,M_F,Fecha,Piscina,Competicion,Lugar,Edad,Temporada,Time_stamp
1,"ALAEZ PEREZ, Hugo",12,E.M. El Olivar,2:46.75,211,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:46.750
2,"LOPEZ HERNANDEZ, Marcos",12,C.N. Iz Cuarte,2:50.22,198,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:50.220
3,"LEGORBURO HERNANDEZ, Adrian",12,Stadium Venecia,2:52.81,190,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:52.810
4,"BELTRAN VIEJO, Alonso",12,E.M. El Olivar,2:53.41,188,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:53.410
5,"ASIN GARRIDO, Damian",12,E.M. El Olivar,2:54.95,183,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:54.950
6,"ARREGUI COMPES, Alberto",12,H2ogo C.N.,2:59.94,168,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:02:59.940
7,"TELLO GRACIA, Izan",12,C.N. Helios,3:06.41,151,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:06.410
8,"MONEDERO OCEJO, Daniel",12,E.M. El Olivar,3:10.44,142,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:10.440
9,"ELIPE VARGAS, Ruben",12,E.M. El Olivar,3:13.62,135,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:13.620
10,"MARTINEZ GOMEZ, Anibal",12,E.M. El Olivar,3:19.26,124,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:19.260
11,"BEAMONTE MARTIN, Lucas",12,P. San Agustin,3:20.44,121,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:20.440
12,"VAZQUEZ BARCENILLA, Nicolas",12,E.M. El Olivar,3:25.18,113,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:25.180
13,"ECHEVARRIA JIMENEZ, Nacho",12,E.M. El Olivar,3:30.95,104,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:30.950
14,"BENITEZ CABEZUDO, Hernan",12,E.M. El Olivar,3:32.30,102,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:32.300
15,"ENGUITA GARCILOPE, Asier",12,Stadium Venecia,3:35.22,98,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:35.220
16,"TOMAS ARNAL, Dario",12,E.M. El Olivar,3:49.38,81,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:49.380
17,"RAMIREZ GIL, Samuel",12,E.M. El Olivar,3:49.81,80,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:49.810
18,"AGUDELO RAYO, Santiado",12,E.M. El Olivar,3:57.45,73,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:57.450
19,"TAULES GINER, Mario",12,E.M. El Olivar,3:59.53,71,200m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,11,2022-2023,1900-01-01 00:03:59.530
1,"MODREGO MARQUETA, Alejandro",11,Stadium Venecia,5:29.66,266,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:05:29.660
2,"RODRIGUEZ ARTIEDA, Marcelo",11,C.N. Helios,5:35.09,254,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:05:35.090
3,"ANTONENKO ANTONENKO, Yehor",11,H2ogo C.N.,5:36.36,251,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:05:36.360
4,"BELTRAN VIEJO, Arturo",11,E.M. El Olivar,5:41.03,241,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:05:41.030
5,"ANGUAS FELIZ, Aquiles",11,E.M. El Olivar,5:49.69,223,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:05:49.690
6,"SERRABLO HUESO, Diego",11,Stadium Venecia,5:50.88,221,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:05:50.880
7,"LAFUENTE GARCIA, Victor",11,C.N. Helios,6:08.72,190,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:06:08.720
8,"NAVARRO PARDOS, Francisco",11,H2ogo C.N.,6:13.66,183,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:06:13.660
9,"SANCHO GRAUS, Bruno",11,E.M. El Olivar,6:14.56,181,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:06:14.560
10,"FANDOS MARCO, Carlos",11,E.M. El Olivar,6:15.56,180,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:06:15.560
11,"MARTINEZ ANTUNEZ, Roman",11,Stadium Venecia,6:21.59,172,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:06:21.590
12,"BEAMONTE MARTIN, Diego",11,P. San Agustin,6:29.06,162,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:06:29.060
13,"ALCALDE MARTINEZ, Martin",11,C.N. Helios,6:45.56,143,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:06:45.560
14,"LANUZA DIAZ, Eduardo",11,P. San Agustin,7:36.67,100,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:07:36.670
15,"JIMENEZ VICO, Pedro",11,C.N. Helios,7:43.44,96,400m Libre,M,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,12,2022-2023,1900-01-01 00:07:43.440
1,"LERSUNDI GOMEZ, Mia",14,E.M. El Olivar,3:26.94,204,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:26.940
2,"FERNANDEZ ELIAS, Jimena",14,E.M. El Olivar,3:40.75,168,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:40.750
3,"SALUDAS TRICAS, Carlota",14,E.M. El Olivar,3:45.26,158,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:45.260
4,"BARRACHINA ARTAZCOZ, Ane",14,E.M. El Olivar,3:48.66,151,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:48.660
5,"MARTINEZ DE SALINAS PEÑA, Candela",14,E.M. El Olivar,3:49.00,150,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:49.000
6,"DIEZ FERNANDEZ, Almudena",14,H2ogo C.N.,3:51.10,146,200m Estilos,F,2023-04-15,25m,"Benjamín, jornada 6",E.M. El Olivar,9,2022-2023,1900-01-01 00:03:51.100
