"Prueb","a 17","","Masc., 100m Braza","","","","11 años"
"09/07","/2022","","","","","Re","sultados"
"RECO","RD ABSOLUTO","1:01.1","8
TRIVIÑO MACHIN, JORGE","00114
S","ABADELL","","18/12/2016"
"Clasificación","","AN","","Tiempo","PUNTOS","50m","100m"
"1.","MARCO LOPEZ, Leo","11","C.N. Helios","1:33.13","36,00","44.64","48.49"
"2.","MARTINEZ ANTUNEZ, Roman","11","Stadium Venecia","1:37.42","34,00","45.95","51.47"
"3.","SERRABLO HUESO, Diego","11","Stadium Venecia","1:38.80","32,00","47.23","51.57"
"4.","FANDOS MARCO, Carlos","11","E.M. El Olivar","1:39.09","30,00","46.56","52.53"
"5.","RODRIGUEZ ARTIEDA, Marce","lo11","C.N. Helios","1:41.81","28,00","47.88","53.93"
"6.","LOPEZ VELEZ, Marcos","11","E.M. El Olivar","1:41.89","27,00","48.45","53.44"
"7.","LACASTA ABARCA, Lucas","11","C.N. Sabiñanigo","1:43.21","26,00","48.91","54.30"
"8.","BESCOS RODRIGUEZ, Jesus","11","E.M. El Olivar","1:44.72","25,00","49.85","54.87"
"9.","TATARU, Adrian Stefan","11","E.M. El Olivar","1:47.82","24,00","50.89","56.93"
"10.","MODREGO MARQUETA, Aleja","ndro11","Stadium Venecia","1:48.18","23,00","52.03","56.15"
"11.","SANCHO GRAUS, Bruno","11","E.M. El Olivar","1:51.64","22,00","53.33","58.31"
"12.","POLO MARTINEZ, Nicolas","11","C.N. Helios","1:53.75","21,00","54.32","59.43"
"13.","BELTRAN VIEJO, Arturo","11","E.M. El Olivar","1:54.88","20,00","53.97","1:00.91"
"14.","ANGUAS FELIZ, Aquiles","11","E.M. El Olivar","1:54.98","19,00","53.76","1:01.22"
"15.","ALCALDE MARTINEZ, Martin","11","C.N. Helios","1:56.47","18,00","56.66","59.81"
"16.","GARCIA DE LA SERNA, Aleja","ndro11","C.N. Helios","2:05.20","17,00","1:01.00","1:04.20"
"17.","NAVARRO PARDOS, Francisc","o11","H2ogo C.N.","2:05.36","16,00","59.57","1:05.79"
"18.","BARCELONA PERALES, Beltr","an11","E.M. El Olivar","2:09.86","15,00","1:01.20","1:08.66"
"19.","BORROY SANCHEZ, Martin","11","Stadium Casablanca","2:11.84","14,00","1:02.12","1:09.72"
"20.","JIMENEZ VICO, Pedro","11","C.N. Helios","2:21.54","13,00","1:06.10","1:15.44"
"21.","QUINTANILLA CARBAJO, Am","aro11","H2ogo C.N.","2:21.97","12,00","1:05.38","1:16.59"
"Baja enf.","LANUZA NUÑEZ, Imanol","11","C.N. Sabiñanigo","","-","",""
"Baja enf.","FABRE GARCIA, Guillermo","11","E.M. El Olivar","","-","",""
"Baja enf.","BEAMONTE MARTIN, Diego","11","P. San Agustin","","-","",""
